date,units,revenue_krw
2026-06-01,20,300000
2026-06-02,22,330000
2026-06-03,21,315000
2026-06-04,24,360000
2026-06-05,25,375000
2026-06-06,29,435000
2026-06-07,27,405000
2026-06-08,22,330000
2026-06-09,24,360000
2026-06-10,23,345000
2026-06-11,26,390000
2026-06-12,28,420000
2026-06-13,32,480000
2026-06-14,30,450000
2026-06-15,25,375000
2026-06-16,27,405000
2026-06-17,26,390000
2026-06-18,29,435000
2026-06-19,31,465000
2026-06-20,35,525000
2026-06-21,33,495000
2026-06-22,28,420000
2026-06-23,30,450000
2026-06-24,29,435000
2026-06-25,32,480000
2026-06-26,34,510000
2026-06-27,38,570000
2026-06-28,36,540000
2026-06-29,31,465000
2026-06-30,33,495000
2026-07-01,32,480000
2026-07-02,35,525000
2026-07-03,37,555000
2026-07-04,41,615000
2026-07-05,39,585000
