sku,category,brand,price_krw,list_price_krw,rating,review_count,stock
SYN-001,shirts,Northstar,12900,15900,4.5,128,42
SYN-002,shirts,Juniper,15900,19900,4.2,74,31
SYN-003,shirts,Harbor,9900,14900,4.0,211,55
SYN-004,outerwear,Northstar,32900,39900,4.6,63,18
SYN-005,outerwear,Atlas,45900,49900,4.4,39,12
SYN-006,trousers,Juniper,24900,29900,4.1,88,26
SYN-007,trousers,Harbor,19900,25900,3.9,156,37
SYN-008,knitwear,Atlas,27900,34900,4.7,52,21
SYN-009,knitwear,Northstar,21900,27900,4.3,97,29
SYN-010,accessories,Harbor,7900,9900,4.0,184,66
SYN-011,accessories,Juniper,11900,11900,4.2,45,48
SYN-012,shirts,Atlas,17900,22900,4.5,112,34
SYN-013,trousers,Northstar,28900,32900,4.4,71,23
SYN-014,outerwear,Juniper,38900,45900,4.1,54,16
SYN-015,knitwear,Harbor,23900,29900,4.6,83,28
